                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0851,                 3.3531,                 1.4848,                0.00893,                0.58333,                0.02826,                0.01626,                 1.3829,                 4.5039,                 1.2771,                      0,                      0,                      0
                      2,                 1.3565,                 3.3426,                 1.6342,                0.01342,                0.58333,                0.05025,                0.03613,                 1.3569,                  4.423,                 1.2709,              1.612e-05,              1.612e-05,              1.612e-05
                      3,                 1.0487,                 2.7907,                 1.5218,                0.02257,                0.58333,                0.09704,                0.07656,                 1.4025,                 4.4053,                 1.2791,              3.114e-05,              3.114e-05,              3.114e-05
                      4,                  1.118,                  2.528,                 1.5096,                0.29426,                0.52631,                0.23457,                0.15589,                 1.5036,                 4.7884,                 1.2439,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      5,                0.87426,                 1.8391,                 1.3904,                0.39927,                0.58333,                0.42896,                0.27277,                 1.5579,                 5.9116,                   1.21,             5.7878e-05,             5.7878e-05,             5.7878e-05
                      6,                0.94662,                 1.8464,                 1.2486,                0.35345,                0.66667,                0.29696,                0.19731,                 1.5463,                 5.1368,                 1.1694,             6.9597e-05,             6.9597e-05,             6.9597e-05
                      7,                0.90342,                 1.5838,                 1.2592,                0.47505,                0.70694,                0.47817,                0.31245,                 1.4711,                 3.3698,                 1.1521,             8.0216e-05,             8.0216e-05,             8.0216e-05
                      8,                0.70823,                 1.4224,                 1.3052,                0.71476,                   0.75,                0.53805,                0.31324,                 1.4773,                 2.7509,                 1.1477,             8.9735e-05,             8.9735e-05,             8.9735e-05
                      9,                0.67904,                 1.4934,                 1.2804,                0.82072,                 0.7142,                0.60905,                0.33541,                   1.47,                 2.5168,                 1.1763,             9.8153e-05,             9.8153e-05,             9.8153e-05
                     10,                0.56455,                 1.1728,                 1.1546,                0.72247,                0.72547,                0.64501,                0.32776,                 1.4589,                 2.3908,                 1.2114,             0.00010547,             0.00010547,             0.00010547
                     11,                0.46808,                 1.0084,                 1.1047,                0.80207,                0.68245,                0.69206,                0.34443,                 1.5374,                 2.3369,                 1.2663,             0.00011169,             0.00011169,             0.00011169
                     12,                0.59921,                 1.0489,                 1.0653,                      1,                0.67145,                0.81155,                0.47721,                 1.5468,                 2.2078,                 1.2892,             0.00011681,             0.00011681,             0.00011681
                     13,                0.49013,                0.97076,                 1.1564,                      1,                0.66649,                0.91193,                0.52572,                 1.5325,                 2.2683,                 1.3014,             0.00012082,             0.00012082,             0.00012082
                     14,                0.61836,                0.93875,                 1.1736,                0.65765,                0.89053,                0.83718,                0.50737,                 1.4986,                 2.3083,                 1.3079,             0.00012374,             0.00012374,             0.00012374
                     15,                0.57585,                0.84301,                 1.1004,                0.75236,                0.81381,                0.83274,                0.51158,                 1.4061,                 2.4261,                 1.2578,             0.00012556,             0.00012556,             0.00012556
                     16,                0.77121,                0.95901,                 1.2305,                0.99376,                 0.6993,                0.86954,                0.46705,                 1.3609,                 2.5601,                 1.2514,             0.00012628,             0.00012628,             0.00012628
                     17,                0.57806,                0.88773,                  1.109,                      1,                0.61156,                0.78294,                 0.4532,                 1.3253,                 2.4979,                 1.2458,             0.00012589,             0.00012589,             0.00012589
                     18,                0.50714,                0.87753,                 1.1173,                      1,                0.61156,                0.78294,                 0.4532,                 1.3253,                 2.4979,                 1.2458,             0.00012441,             0.00012441,             0.00012441
                     19,                0.56548,                0.84048,                 1.0687,                      1,                0.61576,                0.81588,                0.51265,                  1.232,                 2.1205,                 1.2199,             0.00012182,             0.00012182,             0.00012182
                     20,                0.47158,                0.82701,                 1.1121,                      1,                0.61576,                0.81588,                0.51265,                  1.232,                 2.1205,                 1.2199,             0.00011814,             0.00011814,             0.00011814
                     21,                0.88697,                 1.8198,                   1.52,                 0.9798,                0.69741,                0.79076,                 0.5694,                 1.2419,                 2.1736,                 1.2008,             0.00011336,             0.00011336,             0.00011336
                     22,                0.47892,                 1.2244,                 1.0434,                 0.9798,                0.69741,                0.79076,                 0.5694,                 1.2419,                 2.1736,                 1.2008,             0.00010747,             0.00010747,             0.00010747
                     23,                0.60422,                 1.2482,                 1.1228,                0.98829,                0.72257,                0.77733,                0.55788,                 1.2511,                 1.9222,                  1.182,             0.00010049,             0.00010049,             0.00010049
                     24,                0.48518,                 1.0184,                 1.1142,                0.98829,                0.72257,                0.77733,                0.55788,                 1.2511,                 1.9222,                  1.182,             9.2402e-05,             9.2402e-05,             9.2402e-05
                     25,                0.45988,                0.99216,                 1.0711,                0.87125,                0.65965,                0.74096,                0.53187,                 1.2522,                 1.7354,                 1.1766,             8.3217e-05,             8.3217e-05,             8.3217e-05
                     26,                0.43427,                0.99339,                  1.031,                0.87125,                0.65965,                0.74096,                0.53187,                 1.2522,                 1.7354,                 1.1766,             7.2931e-05,             7.2931e-05,             7.2931e-05
                     27,                0.46874,                0.96538,                 1.0454,                0.87881,                0.66082,                0.80269,                0.57397,                 1.2766,                   1.55,                 1.1704,             6.1546e-05,             6.1546e-05,             6.1546e-05
                     28,                0.35821,                0.90792,                  1.046,                0.87881,                0.66082,                0.80269,                0.57397,                 1.2766,                   1.55,                 1.1704,              4.906e-05,              4.906e-05,              4.906e-05
                     29,                0.40411,                 0.8995,                 1.1383,                0.73648,                      1,                 0.9125,                0.62705,                  1.273,                 1.4027,                 1.1619,             3.5474e-05,             3.5474e-05,             3.5474e-05
                     30,                0.34308,                0.74069,                0.98171,                0.73648,                      1,                 0.9125,                0.62705,                  1.273,                 1.4027,                 1.1619,             2.0787e-05,             2.0787e-05,             2.0787e-05
